Orthogroup	Triticum_urartu	Aegilops_tauschii
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109787168
