Orthogroup	Triticum_turgidum	Aegilops_speltoides
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_speltoides|GWHGBFXR007408.1
