Orthogroup	Triticum_turgidum	Triticum_urartu
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Triticum_urartu|LOC125526706
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Triticum_urartu|LOC125526715
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Triticum_urartu|LOC125526857
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Triticum_urartu|LOC125524784
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Triticum_urartu|LOC125526846
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Triticum_urartu|LOC125526706
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Triticum_urartu|LOC125526715
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Triticum_urartu|LOC125526857
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Triticum_urartu|LOC125524784
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Triticum_urartu|LOC125526846
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Triticum_urartu|LOC125526706
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Triticum_urartu|LOC125526715
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Triticum_urartu|LOC125526857
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Triticum_urartu|LOC125524784
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Triticum_urartu|LOC125526846
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Triticum_urartu|LOC125526706
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Triticum_urartu|LOC125526715
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Triticum_urartu|LOC125526857
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Triticum_urartu|LOC125524784
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Triticum_urartu|LOC125526846
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125538216
