Orthogroup	Hordeum_vulgare	Triticum_turgidum
OG0000000	Hordeum_vulgare|LOC123424186	Triticum_turgidum|TRITD_7Bv1G005430, Triticum_turgidum|TRITD_7Bv1G005530
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_turgidum|TRITD_7Bv1G015820
