Orthogroup	Triticum_aestivum	Aegilops_speltoides
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Aegilops_speltoides|GWHGBFXR007408.1
