Orthogroup	Triticum_turgidum	Aegilops_tauschii
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109738285
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109733850
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Aegilops_tauschii|LOC109781574
