Orthogroup	Aegilops_tauschii	Triticum_turgidum
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109738285	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_3Av1G053190
