Orthogroup	Triticum_aestivum	Hordeum_vulgare
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123440459
