Orthogroup	Hordeum_vulgare	Triticum_urartu
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_urartu|LOC125526706
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_urartu|LOC125526715
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_urartu|LOC125526857
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_urartu|LOC125524784
OG0000000	Hordeum_vulgare|LOC123446355	Triticum_urartu|LOC125526846
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_urartu|LOC125526706
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_urartu|LOC125526715
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_urartu|LOC125526857
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_urartu|LOC125524784
OG0000000	Hordeum_vulgare|LOC123444810	Triticum_urartu|LOC125526846
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123440459	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125538216
