Orthogroup	Triticum_aestivum	Triticum_urartu
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Triticum_urartu|LOC125526706
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Triticum_urartu|LOC125526715
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Triticum_urartu|LOC125526857
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Triticum_urartu|LOC125524784
OG0000000	Triticum_aestivum|TraesCS1A03G0879000	Triticum_urartu|LOC125526846
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Triticum_urartu|LOC125526706
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Triticum_urartu|LOC125526715
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Triticum_urartu|LOC125526857
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Triticum_urartu|LOC125524784
OG0000000	Triticum_aestivum|TraesCS1A03G0881900	Triticum_urartu|LOC125526846
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Triticum_urartu|LOC125526706
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Triticum_urartu|LOC125526715
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Triticum_urartu|LOC125526857
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Triticum_urartu|LOC125524784
OG0000000	Triticum_aestivum|TraesCS1B03G0788800	Triticum_urartu|LOC125526846
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Triticum_urartu|LOC125526706
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Triticum_urartu|LOC125526715
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Triticum_urartu|LOC125526857
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Triticum_urartu|LOC125524784
OG0000000	Triticum_aestivum|TraesCS1B03G1024900	Triticum_urartu|LOC125526846
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Triticum_urartu|LOC125526706
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Triticum_urartu|LOC125526715
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Triticum_urartu|LOC125526857
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Triticum_urartu|LOC125524784
OG0000000	Triticum_aestivum|TraesCS3B03G1018000	Triticum_urartu|LOC125526846
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125544536
