Orthogroup	Aegilops_speltoides	Hordeum_vulgare
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123407579
