Orthogroup	Triticum_urartu	Triticum_turgidum
OG0000000	Triticum_urartu|LOC125526706	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Triticum_urartu|LOC125526715	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Triticum_urartu|LOC125526857	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Triticum_urartu|LOC125524784	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Triticum_urartu|LOC125526846	Triticum_turgidum|TRITD_1Av1G204440
OG0000000	Triticum_urartu|LOC125526706	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Triticum_urartu|LOC125526715	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Triticum_urartu|LOC125526857	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Triticum_urartu|LOC125524784	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Triticum_urartu|LOC125526846	Triticum_turgidum|TRITD_1Av1G204800
OG0000000	Triticum_urartu|LOC125526706	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Triticum_urartu|LOC125526715	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Triticum_urartu|LOC125526857	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Triticum_urartu|LOC125524784	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Triticum_urartu|LOC125526846	Triticum_turgidum|TRITD_1Bv1G156460
OG0000000	Triticum_urartu|LOC125526706	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Triticum_urartu|LOC125526715	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Triticum_urartu|LOC125526857	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Triticum_urartu|LOC125524784	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Triticum_urartu|LOC125526846	Triticum_turgidum|TRITD_1Bv1G196970
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_7Av1G030220
