Orthogroup	Triticum_urartu	Triticum_aestivum
OG0000000	Triticum_urartu|LOC125526706	Triticum_aestivum|TraesCS1A03G0879000
OG0000000	Triticum_urartu|LOC125526715	Triticum_aestivum|TraesCS1A03G0879000
OG0000000	Triticum_urartu|LOC125526857	Triticum_aestivum|TraesCS1A03G0879000
OG0000000	Triticum_urartu|LOC125524784	Triticum_aestivum|TraesCS1A03G0879000
OG0000000	Triticum_urartu|LOC125526846	Triticum_aestivum|TraesCS1A03G0879000
OG0000000	Triticum_urartu|LOC125526706	Triticum_aestivum|TraesCS1A03G0881900
OG0000000	Triticum_urartu|LOC125526715	Triticum_aestivum|TraesCS1A03G0881900
OG0000000	Triticum_urartu|LOC125526857	Triticum_aestivum|TraesCS1A03G0881900
OG0000000	Triticum_urartu|LOC125524784	Triticum_aestivum|TraesCS1A03G0881900
OG0000000	Triticum_urartu|LOC125526846	Triticum_aestivum|TraesCS1A03G0881900
OG0000000	Triticum_urartu|LOC125526706	Triticum_aestivum|TraesCS1B03G0788800
OG0000000	Triticum_urartu|LOC125526715	Triticum_aestivum|TraesCS1B03G0788800
OG0000000	Triticum_urartu|LOC125526857	Triticum_aestivum|TraesCS1B03G0788800
OG0000000	Triticum_urartu|LOC125524784	Triticum_aestivum|TraesCS1B03G0788800
OG0000000	Triticum_urartu|LOC125526846	Triticum_aestivum|TraesCS1B03G0788800
OG0000000	Triticum_urartu|LOC125526706	Triticum_aestivum|TraesCS1B03G1024900
OG0000000	Triticum_urartu|LOC125526715	Triticum_aestivum|TraesCS1B03G1024900
OG0000000	Triticum_urartu|LOC125526857	Triticum_aestivum|TraesCS1B03G1024900
OG0000000	Triticum_urartu|LOC125524784	Triticum_aestivum|TraesCS1B03G1024900
OG0000000	Triticum_urartu|LOC125526846	Triticum_aestivum|TraesCS1B03G1024900
OG0000000	Triticum_urartu|LOC125526706	Triticum_aestivum|TraesCS3B03G1018000
OG0000000	Triticum_urartu|LOC125526715	Triticum_aestivum|TraesCS3B03G1018000
OG0000000	Triticum_urartu|LOC125526857	Triticum_aestivum|TraesCS3B03G1018000
OG0000000	Triticum_urartu|LOC125524784	Triticum_aestivum|TraesCS3B03G1018000
OG0000000	Triticum_urartu|LOC125526846	Triticum_aestivum|TraesCS3B03G1018000
