Orthogroup	Hordeum_vulgare	Aegilops_tauschii
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_tauschii|LOC109738285
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_tauschii|LOC109733850
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_tauschii|LOC109787168
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_tauschii|LOC109787168
