Orthogroup	Aegilops_speltoides	Aegilops_tauschii
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109738285
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109733850
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109787168
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109732745
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109732746
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109765742
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109765743
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109781574
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109750404
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109784957
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109741504
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109760481
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109744817
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109769263
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109767055
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109761752
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109761751
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109761753
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109752985
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109754409
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109754407
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109754411
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Aegilops_tauschii|LOC109769678
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109738285
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109733850
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109787168
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109732745
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109732746
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109765742
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109765743
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109781574
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109750404
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109784957
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109741504
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109760481
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109744817
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109769263
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109767055
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109761752
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109761751
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109761753
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109752985
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109754409
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109754407
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109754411
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Aegilops_tauschii|LOC109769678
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109738285
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109733850
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109787168
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109732745
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109732746
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109765742
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109765743
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109781574
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109750404
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109784957
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109741504
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109760481
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109744817
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109769263
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109767055
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109761752
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109761751
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109761753
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109752985
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109754409
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Aegilops_tauschii|LOC109754407
