Orthogroup	Triticum_turgidum	Hordeum_vulgare
OG0000000	Triticum_turgidum|TRITD_7Bv1G005430, Triticum_turgidum|TRITD_7Bv1G005530	Hordeum_vulgare|LOC123424186
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_turgidum|TRITD_1Av1G204440	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_turgidum|TRITD_1Av1G204800	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_turgidum|TRITD_1Bv1G156460	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_turgidum|TRITD_1Bv1G196970	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123401492
