Orthogroup	Triticum_urartu	Hordeum_vulgare
OG0000000	Triticum_urartu|LOC125526706	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_urartu|LOC125526715	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_urartu|LOC125526857	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_urartu|LOC125524784	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_urartu|LOC125526846	Hordeum_vulgare|LOC123446355
OG0000000	Triticum_urartu|LOC125526706	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_urartu|LOC125526715	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_urartu|LOC125526857	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_urartu|LOC125524784	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_urartu|LOC125526846	Hordeum_vulgare|LOC123444810
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123401492
