Orthogroup	Aegilops_speltoides	Triticum_urartu
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR003539.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR003547.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125545370
