Orthogroup	Hordeum_vulgare	Aegilops_speltoides
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR003539.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR003547.1
